trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
106,False,"{'a': 0.008, 'e': 0.43171052342907973}",20,0,-29.491389504153368,"{0: 15, 1: 1, 2: 4, 3: 0, 4: 0}",0
107,False,"{'a': 0.008, 'e': 0.4282706172126597}",30,21,12.040730879937001,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
108,False,"{'a': 0.008, 'e': 0.42485812046192456}",20,5,16.71572742452104,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
109,False,"{'a': 0.008, 'e': 0.42147281477591764}",25,13,13.929575250407392,"{0: 11, 1: 1, 2: 0, 3: 0, 4: 0}",1
110,False,"{'a': 0.008, 'e': 0.41811448349391933}",25,16,16.28858497125219,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.008, 'e': 0.4147829116815814}",25,0,-38.0522398897024,"{0: 19, 1: 0, 2: 6, 3: 0, 4: 0}",0
112,False,"{'a': 0.008, 'e': 0.41147788611717057}",20,1,9.876858579152962,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 0}",1
113,False,"{'a': 0.008, 'e': 0.4081991952779227}",35,7,-79.69789612979594,"{0: 22, 1: 2, 2: 2, 3: 0, 4: 2}",1
114,False,"{'a': 0.008, 'e': 0.4049466293265049}",20,12,-9.788949288712399,"{0: 6, 1: 0, 2: 2, 3: 0, 4: 0}",1
115,False,"{'a': 0.008, 'e': 0.401719980097586}",25,8,-75.88346714474535,"{0: 11, 1: 3, 2: 0, 3: 2, 4: 1}",1
116,False,"{'a': 0.008, 'e': 0.39851904108451414}",20,4,4.477707325209083,"{0: 14, 1: 0, 2: 2, 3: 0, 4: 0}",1
117,False,"{'a': 0.008, 'e': 0.3953436074260998}",30,14,-125.72398087610487,"{0: 10, 1: 1, 2: 2, 3: 0, 4: 3}",1
118,False,"{'a': 0.008, 'e': 0.39219347589350495}",25,14,-20.05171811082903,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 1}",1
119,False,"{'a': 0.008, 'e': 0.3890684448772363}",30,8,-105.31654960630945,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 2}",1
120,False,"{'a': 0.008, 'e': 0.3859683143742421}",20,9,18.669576324645732,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
121,False,"{'a': 0.008, 'e': 0.38289288597511206}",20,16,7.236746241266343,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
